eval_message_id,text,human_sentiment,human_intent
EVAL0001,"Hi team, Can you send us the renewal pricing and terms for next year? Please advise.",neutral,renewal_question
EVAL0002,"The API timed out twice this morning, but it recovered without intervention. This is becoming important for our team.",neutral,technical
EVAL0003,"To be candid, We're still evaluating the workflow and will discuss it internally next week. This is becoming important for our team.",neutral,general
EVAL0004,"To be candid, The invoice amount doesn't match our purchase order. Can someone review it?",negative,billing
EVAL0005,We're still evaluating the workflow and will discuss it internally next week. Please advise.,neutral,general
EVAL0006,Thanks for the update. Can you send us the renewal pricing and terms for next year? Please advise.,neutral,renewal_question
EVAL0007,"Thanks for the update. The API timed out twice this morning, but it recovered without intervention.",neutral,technical
EVAL0008,Thanks for the update. Can you send us the renewal pricing and terms for next year?,neutral,renewal_question
EVAL0009,"To be candid, I've copied our VP because this has been open for three weeks without a resolution. Please advise.",negative,escalation
EVAL0010,We're looking at alternatives because we're not sure this platform still fits our needs. This is becoming important for our team.,negative,churn_intent
EVAL0011,"To be candid, We're looking at alternatives because we're not sure this platform still fits our needs. We need an answer this week.",negative,churn_intent
EVAL0012,"The API timed out twice this morning, but it recovered without intervention. We need an answer this week.",neutral,technical
EVAL0013,Thanks for the update. We're still evaluating the workflow and will discuss it internally next week. We need an answer this week.,neutral,general
EVAL0014,Just following up — The latest release has been frustrating and our team is losing patience. We need an answer this week.,negative,general
EVAL0015,I've copied our VP because this has been open for three weeks without a resolution.,negative,escalation
EVAL0016,"To be candid, Can you send us the renewal pricing and terms for next year? We need an answer this week.",neutral,renewal_question
EVAL0017,Just following up — The invoice amount doesn't match our purchase order. Can someone review it? We need an answer this week.,negative,billing
EVAL0018,"To be candid, We're looking at alternatives because we're not sure this platform still fits our needs. We need an answer this week.",negative,churn_intent
EVAL0019,Thanks for the update. I've copied our VP because this has been open for three weeks without a resolution. This is becoming important for our team.,negative,escalation
EVAL0020,"To be candid, We're looking at alternatives because we're not sure this platform still fits our needs.",negative,churn_intent
EVAL0021,"Hi team, The latest release has been frustrating and our team is losing patience. We need an answer this week.",negative,general
EVAL0022,We're looking at alternatives because we're not sure this platform still fits our needs. This is becoming important for our team.,negative,churn_intent
EVAL0023,"Just following up — The API timed out twice this morning, but it recovered without intervention. Please advise.",neutral,technical
