customer_id,account_name,segment,arr_usd,logins_last_30d,logins_prev_30d,tickets_last_30d,tickets_prev_30d,csat_current,csat_prev_quarter,failed_payments_90d,days_payment_overdue,_ground_truth_risk,_scenario_type,_scenario_description,_sentiment,_churn_intent
C001,Acme Retail,Enterprise,68472.0,69.0,95.0,9.0,1.0,1.5,3.5,0,30,critical,cancel_intent,"Usage fell sharply, repeated complaints, explicit cancellation language.",very_negative,explicit_cancel_intent
C002,BrightMart,Mid-Market,20640.0,73.0,89.0,5.0,1.0,3.0,5.0,2,60,high,billing_sentiment,Payment failures plus worsening sentiment.,very_negative,none
C003,CloudNine,Enterprise,124740.0,67.0,68.0,8.0,6.0,3.5,4.0,0,0,low,healthy,Stable usage and positive interactions.,negative,none
C004,Delta Health,Enterprise,34488.0,50.0,64.0,10.0,2.0,2.5,4.5,0,0,high,support_escalation,Repeated unresolved escalations and low CSAT.,very_negative,none
C005,Evergreen Foods,SMB,22932.0,47.0,77.0,5.0,3.0,3.5,4.5,0,0,medium,usage_decline,Moderate usage decline without explicit churn intent.,negative,none
C006,FinEdge,Enterprise,23400.0,61.0,91.0,10.0,2.0,1.5,3.5,0,30,critical,cancel_intent,Executive escalation and contract cancellation discussion.,very_negative,explicit_cancel_intent
C007,GreenLeaf,Mid-Market,103536.0,59.0,62.0,7.0,3.0,5.0,4.5,0,0,low,healthy,Positive feedback and stable engagement.,negative,none
C008,Horizon Labs,Enterprise,140220.0,58.0,84.0,10.0,4.0,2.5,4.5,1,60,high,multi_signal,"Usage decline, negative sentiment and increasing support contacts.",very_negative,none
C009,InnovaTech,Mid-Market,27408.0,76.0,73.0,6.0,4.0,3.5,4.5,0,0,medium,sentiment_decline,Sentiment has deteriorated but no churn intent.,negative,none
C010,Jupiter Media,SMB,62880.0,61.0,68.0,2.0,4.0,3.5,4.0,0,0,low,healthy,Low support volume and good satisfaction.,positive,none
C011,Kinetic Works,Enterprise,90048.0,85.0,83.0,9.0,5.0,2.5,3.5,0,60,high,billing_issue,Repeated invoice disputes and payment friction.,negative,none
C012,Lumen Hotels,Mid-Market,140412.0,57.0,62.0,15.0,5.0,3.5,4.5,0,0,medium,support_volume,Support contacts doubled while CSAT softened.,negative,none
C013,Metro Logistics,Enterprise,137328.0,63.0,87.0,8.0,2.0,1.5,3.5,1,60,critical,multi_signal,"Major usage drop, severe complaints and cancellation threat.",very_negative,explicit_cancel_intent
C014,Nova Education,SMB,18228.0,90.0,90.0,4.0,3.0,4.5,5.0,0,0,low,healthy,Stable account with positive interactions.,positive,none
C015,Orbit Systems,Enterprise,118140.0,78.0,90.0,6.0,2.0,2.5,4.5,0,0,high,csat_drop,CSAT dropped materially and complaints increased.,negative,none
C016,Pioneer Energy,Enterprise,100524.0,47.0,74.0,6.0,4.0,3.5,4.5,0,0,medium,usage_decline,Usage is declining gradually; sentiment remains neutral.,negative,none
C017,Quantum Retail,Mid-Market,28356.0,91.0,88.0,5.0,1.0,3.5,3.5,0,0,low,healthy,Stable behavior and positive feedback.,negative,none
C018,Riverstone,SMB,51828.0,71.0,66.0,8.0,4.0,4.0,5.0,0,60,medium,billing_issue,One overdue invoice and mild frustration.,negative,none
C019,Summit Telecom,Enterprise,26316.0,54.0,84.0,9.0,1.0,1.5,3.5,0,0,critical,cancel_intent,Customer explicitly considering competitor and cancellation.,very_negative,explicit_cancel_intent
C020,Vertex Design,SMB,41952.0,71.0,69.0,1.0,1.0,4.5,5.0,0,0,low,healthy,Consistent engagement and strong CSAT.,positive,none
C021,Willow Finance,Enterprise,56424.0,61.0,81.0,10.0,4.0,3.0,5.0,1,60,high,multi_signal,"Payment issue, declining usage and negative support interactions.",very_negative,none
C022,Zenith Auto,Mid-Market,97560.0,70.0,74.0,6.0,4.0,3.5,4.5,0,0,medium,sentiment_decline,Increasing frustration but continued product usage.,negative,none
C023,Atlas Travel,SMB,76056.0,55.0,54.0,6.0,4.0,3.5,4.0,0,0,low,healthy,No meaningful warning signals.,positive,none
C024,BluePeak,Mid-Market,136164.0,77.0,91.0,10.0,2.0,1.5,3.5,0,0,high,support_escalation,Repeated escalation with unresolved technical issue.,very_negative,none
C025,Cedar Analytics,Enterprise,61320.0,44.0,71.0,4.0,2.0,3.5,4.5,0,0,medium,usage_decline,Usage down but customer remains satisfied.,negative,none
C026,Drift Commerce,SMB,28800.0,53.0,59.0,4.0,3.0,4.0,4.0,0,0,low,healthy,Stable usage and positive sentiment.,neutral,none
C027,Ember Security,Enterprise,123432.0,72.0,94.0,11.0,5.0,1.5,3.5,1,60,critical,multi_signal,"Security concern, executive escalation and churn language.",very_negative,explicit_cancel_intent
C028,Falcon Manufacturing,Enterprise,69792.0,74.0,90.0,6.0,2.0,2.5,4.5,2,60,high,billing_sentiment,Billing disputes combined with negative sentiment.,very_negative,none
C029,Granite Media,Mid-Market,63768.0,95.0,90.0,9.0,3.0,4.0,5.0,0,0,medium,support_volume,Support volume increased with minor satisfaction decline.,negative,none
C030,Helio Health,SMB,124668.0,67.0,61.0,3.0,3.0,4.5,4.5,0,0,low,healthy,Healthy account with stable engagement.,positive,none
